"","YEAR","CIRI","COW","DISAP","KILL","POLPRIS","TORT","Amnesty","State","HRW","hathaway","ITT","genocide","rummel","massive_repression","executions","negative_sanctions","mass_killing","killing_low","killing_best","killing_high","killing_present","COW_YEAR","id","theta_mean","theta_sd"
"1",1946,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,"2-1946",826,-1.02348834605874,0.43286605614167
"2",1947,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,"2-1947",827,-1.11724345602267,0.384267248149058
"3",1948,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,NA,NA,NA,NA,"2-1948",828,-1.22639784146983,0.339760290815495
"4",1949,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,0,NA,NA,NA,NA,"2-1949",829,-1.40993730385394,0.26194746942442
"5",1950,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,0,NA,NA,NA,NA,"2-1950",830,-1.50519727076076,0.239772334240621
"6",1951,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,0,NA,NA,NA,NA,"2-1951",831,-1.55063363877973,0.233002002255681
"7",1952,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,0,NA,NA,NA,NA,"2-1952",832,-1.58978639679514,0.227047484981537
"8",1953,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,0,NA,NA,NA,NA,"2-1953",833,-1.62003867202634,0.225249735334969
"9",1954,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,0,NA,NA,NA,NA,"2-1954",834,-1.60664707487249,0.22591785332225
"10",1955,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,0,NA,NA,NA,NA,"2-1955",835,-1.59706870700566,0.227159227214053
"11",1956,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,0,NA,NA,NA,NA,"2-1956",836,-1.58709401660233,0.235128328659206
"12",1957,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,0,NA,NA,NA,NA,"2-1957",837,-1.59367755177755,0.234239505963506
"13",1958,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,0,NA,NA,NA,NA,"2-1958",838,-1.58925739138524,0.233845301577435
"14",1959,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,0,NA,NA,NA,NA,"2-1959",839,-1.58974741477484,0.23681220676211
"15",1960,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,0,NA,NA,NA,NA,"2-1960",840,-1.59104383367959,0.238507678187414
"16",1961,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,0,NA,NA,NA,NA,"2-1961",841,-1.58438435033809,0.22879971529118
"17",1962,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,0,NA,NA,NA,NA,"2-1962",842,-1.58747424390119,0.233292346690845
"18",1963,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,0,NA,NA,NA,NA,"2-1963",843,-1.58961157558793,0.23262859308992
"19",1964,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,0,NA,NA,NA,NA,"2-1964",844,-1.5932498227569,0.236694343590662
"20",1965,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,0,NA,NA,NA,NA,"2-1965",845,-1.56824577660767,0.23568899970116
"21",1966,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,0,NA,NA,NA,NA,"2-1966",846,-1.56177981709778,0.234857134712014
"22",1967,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,0,NA,NA,NA,NA,"2-1967",847,-1.54243324547855,0.240599899219591
"23",1968,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,0,NA,NA,NA,NA,"2-1968",848,-1.49979840531806,0.25085225601156
"24",1969,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,0,NA,NA,NA,NA,"2-1969",849,-1.43556814200153,0.254847165649962
"25",1970,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,0,NA,NA,NA,NA,"2-1970",850,-1.31011907136102,0.295182529165767
"26",1971,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,NA,NA,NA,NA,"2-1971",851,-0.795820061529005,0.609847155790176
"27",1972,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,NA,NA,NA,NA,"2-1972",852,-0.421345141632756,0.696918564496054
"28",1973,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,NA,NA,NA,NA,"2-1973",853,-0.0857849525684965,0.741399204617177
"29",1974,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,NA,NA,NA,NA,"2-1974",854,0.267065063268864,0.757046936329097
"30",1975,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,NA,NA,NA,NA,"2-1975",855,0.640273704268775,0.730157804613241
"31",1976,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,0,0,0,0,1,0,NA,NA,NA,NA,"2-1976",856,1.17428720454308,0.527120400774162
"32",1977,NA,2,NA,NA,NA,NA,1,1,NA,NA,NA,0,0,0,0,1,0,NA,NA,NA,NA,"2-1977",857,1.43160110204214,0.423466425945141
"33",1978,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,0,0,0,0,1,0,NA,NA,NA,NA,"2-1978",858,1.5641909566703,0.399396781459095
"34",1979,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,0,0,0,0,1,0,NA,NA,NA,NA,"2-1979",859,1.67102932634856,0.3806500759958
"35",1980,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,0,0,0,0,1,0,NA,NA,NA,NA,"2-1980",860,1.77901066083997,0.357589252721615
"36",1981,662,2,2,2,2,2,1,NA,NA,NA,NA,0,0,0,0,1,0,NA,NA,NA,NA,"2-1981",861,1.84031934787141,0.355980898059625
"37",1982,662,2,2,2,2,2,1,NA,NA,NA,NA,0,0,0,0,1,0,NA,NA,NA,NA,"2-1982",862,1.87089773021539,0.349093314366561
"38",1983,662,2,2,2,2,2,1,NA,NA,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,NA,"2-1983",863,1.87876576912914,0.34068506008029
"39",1984,662,2,2,2,2,2,1,NA,NA,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,NA,"2-1984",864,1.82163522673664,0.335129522824944
"40",1985,662,2,2,2,2,1,1,NA,NA,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,NA,"2-1985",865,1.657053281445,0.325911476691242
"41",1986,662,2,2,2,2,1,1,NA,NA,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,NA,"2-1986",866,1.52576942696931,0.315145135261418
"42",1987,662,2,2,2,2,2,2,NA,NA,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,NA,"2-1987",867,1.43256698478752,0.29231610529921
"43",1988,662,2,2,2,2,1,1,NA,NA,NA,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,"2-1988",868,1.40661073126872,0.282792354126577
"44",1989,662,2,2,2,2,1,1,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,0,"2-1989",869,1.37369348797995,0.288124925963032
"45",1990,662,2,2,2,2,2,1,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,0,"2-1990",870,1.32269759424307,0.290094394283805
"46",1991,662,2,2,2,2,1,2,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,0,"2-1991",871,1.11945224213531,0.284383614464596
"47",1992,662,2,2,2,2,1,2,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,0,"2-1992",872,1.07909594622594,0.284751661912902
"48",1993,662,2,2,2,2,1,1,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,0,"2-1993",873,1.18484631186313,0.285131562050039
"49",1994,662,2,2,2,2,1,1,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,0,"2-1994",874,1.25513390053198,0.28419412290885
"50",1995,662,2,2,2,2,1,1,NA,NA,NA,5,0,NA,NA,NA,NA,0,0,NA,NA,0,"2-1995",875,1.28728456328793,0.280086495793736
"51",1996,662,2,2,2,2,1,1,NA,NA,NA,5,0,NA,NA,NA,NA,0,0,NA,NA,0,"2-1996",876,1.31130001972668,0.279619521799961
"52",1997,662,2,2,2,2,1,1,NA,NA,NA,5,0,NA,NA,NA,NA,0,0,NA,NA,0,"2-1997",877,1.33380629575859,0.281304451774352
"53",1998,662,2,2,2,2,1,1,NA,NA,NA,6,0,NA,NA,NA,NA,0,0,NA,NA,0,"2-1998",878,1.32928643017543,0.28420777389343
"54",1999,662,2,2,2,2,1,1,NA,NA,NA,6,0,NA,NA,NA,NA,0,0,NA,NA,0,"2-1999",879,1.27850875970356,0.294710835983498
"55",2000,662,2,2,2,2,1,1,NA,NA,NA,6,0,NA,NA,NA,NA,0,0,NA,NA,0,"2-2000",880,1.16207863059498,0.31512101228771
"56",2001,662,2,2,2,0,1,2,NA,NA,NA,6,0,NA,NA,NA,NA,0,0,NA,NA,0,"2-2001",881,0.751879381804098,0.326876925933669
"57",2002,662,2,2,2,1,1,2,NA,NA,NA,6,0,NA,NA,NA,NA,0,0,NA,NA,0,"2-2002",882,0.546564797939198,0.315507920416972
"58",2003,662,2,2,2,1,1,2,NA,NA,NA,6,0,NA,NA,NA,NA,0,0,NA,NA,0,"2-2003",883,0.360214703571947,0.318701477770353
"59",2004,662,2,1,1,1,1,3,NA,NA,NA,6,0,NA,NA,NA,NA,0,0,NA,NA,0,"2-2004",884,-0.0897416245359666,0.275543514599527
"60",2005,662,2,2,1,1,0,3,NA,NA,NA,6,0,NA,NA,NA,NA,0,0,NA,NA,0,"2-2005",885,-0.173325888757557,0.250068175974225
"61",2006,662,2,2,1,1,0,3,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,0,"2-2006",886,-0.142301183567025,0.240907364038255
"62",2007,662,2,2,1,1,1,3,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,0,"2-2007",887,-0.0638213694224905,0.237477079158885
"63",2008,662,2,2,1,2,1,3,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,0,"2-2008",888,-0.00318213054868914,0.229294283950265
"64",2009,662,2,2,1,1,1,3,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,0,"2-2009",889,0.0302222483575881,0.2318843883786
"65",2010,662,2,2,1,2,1,3,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,0,"2-2010",890,0.0906038656839438,0.232290666431195
"66",2011,662,2,2,1,2,1,3,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,0,"2-2011",891,0.148829898963569,0.23297399254863
"67",2012,NA,2,NA,NA,NA,NA,3,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,0,"2-2012",892,0.176296268408091,0.259411405273613
"68",2013,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,0,"2-2013",893,0.310540100020805,0.261477831376946
"69",2014,NA,2,NA,NA,NA,NA,2,NA,2,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,0,"2-2014",894,0.377204805822059,0.256278292960837
"70",2015,NA,2,NA,NA,NA,NA,2,NA,3,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,0,"2-2015",895,0.295493445111671,0.256600585676825
"71",2016,NA,2,NA,NA,NA,NA,2,NA,3,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,0,"2-2016",896,0.256284362087864,0.272764275664827
"72",2017,NA,2,NA,NA,NA,NA,2,NA,3,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,0,"2-2017",897,0.235332781347714,0.309520609117691
"73",1946,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,"20-1946",898,-0.0648290933499635,0.589996265970724
"74",1947,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,"20-1947",899,-0.0663457482872714,0.570849193085781
"75",1948,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,NA,NA,NA,NA,"20-1948",900,-0.0761613194780757,0.55274536904748
"76",1949,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,NA,NA,NA,NA,"20-1949",901,-0.0756799466469274,0.532465296218016
"77",1950,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,NA,NA,NA,NA,"20-1950",902,-0.0731492139359674,0.515763938080409
"78",1951,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,NA,NA,NA,NA,"20-1951",903,-0.0774754965055432,0.509595437113429
"79",1952,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,NA,NA,NA,NA,"20-1952",904,-0.0633470623535959,0.49480052037818
"80",1953,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,NA,NA,NA,NA,"20-1953",905,-0.0568418960024514,0.495609275762498
"81",1954,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,NA,NA,NA,NA,"20-1954",906,-0.0452396848049986,0.494472316608098
"82",1955,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,NA,NA,NA,NA,"20-1955",907,-0.0207149903112831,0.495471110934037
"83",1956,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,NA,NA,NA,NA,"20-1956",908,0.00796221733031658,0.495701791075005
"84",1957,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,"20-1957",909,0.0436871067258702,0.491077957949979
"85",1958,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,NA,NA,NA,NA,"20-1958",910,0.053741674725453,0.482959386983511
"86",1959,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,"20-1959",911,0.079154396081772,0.485382464145965
"87",1960,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,NA,NA,NA,NA,"20-1960",912,0.0639121710395416,0.492242523116893
"88",1961,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,NA,NA,NA,NA,"20-1961",913,0.0613077779149806,0.488822137774553
"89",1962,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,NA,NA,NA,NA,"20-1962",914,0.0508805466298797,0.487339470891513
"90",1963,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,NA,NA,NA,NA,"20-1963",915,0.0564978769314896,0.493304600493806
"91",1964,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,NA,NA,NA,NA,"20-1964",916,0.0696490083079112,0.502868881618406
"92",1965,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,NA,NA,NA,NA,"20-1965",917,0.088075907848496,0.499680224023354
"93",1966,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,NA,NA,NA,NA,"20-1966",918,0.118603550927127,0.508740322798354
"94",1967,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,NA,NA,NA,NA,"20-1967",919,0.155571037046588,0.508987716166359
"95",1968,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,NA,NA,NA,NA,"20-1968",920,0.211694210121261,0.512008141933698
"96",1969,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,NA,NA,NA,NA,"20-1969",921,0.272800907777117,0.513668565505259
"97",1970,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,NA,NA,NA,NA,"20-1970",922,0.343364309865223,0.511252091932975
"98",1971,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,NA,NA,NA,NA,"20-1971",923,0.421733383431436,0.515025365928195
"99",1972,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,NA,NA,NA,NA,"20-1972",924,0.510479009812273,0.517107452364907
"100",1973,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,NA,NA,NA,NA,"20-1973",925,0.614298556571763,0.509308435156102
"101",1974,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,"20-1974",926,0.774880732344132,0.497497187555874
"102",1975,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,NA,NA,NA,NA,"20-1975",927,0.896719886906862,0.468315036964482
"103",1976,NA,20,NA,NA,NA,NA,1,1,NA,NA,NA,0,0,0,0,1,0,NA,NA,NA,NA,"20-1976",928,1.02602160290481,0.43925464652344
"104",1977,NA,20,NA,NA,NA,NA,NA,1,NA,NA,NA,0,0,0,0,1,0,NA,NA,NA,NA,"20-1977",929,1.11703554993663,0.441179307591703
"105",1978,NA,20,NA,NA,NA,NA,NA,1,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,"20-1978",930,1.20864354388706,0.429849105588106
"106",1979,NA,20,NA,NA,NA,NA,NA,1,NA,NA,NA,0,0,0,0,1,0,NA,NA,NA,NA,"20-1979",931,1.29103451871292,0.427674517549012
"107",1980,NA,20,NA,NA,NA,NA,NA,1,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,"20-1980",932,1.37707311054065,0.411663721667629
"108",1981,194,20,2,2,2,2,NA,1,NA,NA,NA,0,0,0,0,1,0,NA,NA,NA,NA,"20-1981",933,1.44325783041053,0.393318805330502
"109",1982,194,20,2,2,2,1,NA,1,NA,NA,NA,0,0,0,0,1,0,NA,NA,NA,NA,"20-1982",934,1.50210598043627,0.372716487898802
"110",1983,194,20,2,2,2,1,1,1,NA,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,NA,"20-1983",935,1.67228580547735,0.350704952429283
"111",1984,194,20,2,2,2,1,1,1,NA,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,NA,"20-1984",936,1.83257263775227,0.358286454107185
"112",1985,194,20,2,2,2,2,NA,1,NA,1,NA,0,0,0,NA,NA,0,NA,NA,NA,NA,"20-1985",937,2.02068349546155,0.392575578590085
"113",1986,194,20,2,2,2,2,1,1,NA,1,NA,0,0,0,NA,NA,0,NA,NA,NA,NA,"20-1986",938,2.14905794128474,0.386084919412454
"114",1987,194,20,2,2,2,2,1,1,NA,1,NA,0,0,0,NA,NA,0,NA,NA,NA,NA,"20-1987",939,2.2398774737814,0.385665810644378
"115",1988,194,20,2,2,2,2,NA,1,NA,1,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,"20-1988",940,2.29295772323226,0.394082194466602
"116",1989,194,20,2,2,2,2,NA,1,NA,1,NA,0,NA,NA,NA,NA,0,0,NA,NA,0,"20-1989",941,2.31588908412928,0.394877310180611
"117",1990,194,20,2,2,2,2,1,1,NA,1,NA,0,NA,NA,NA,NA,0,0,NA,NA,0,"20-1990",942,2.30334236302812,0.391590115446992
"118",1991,194,20,2,2,2,2,1,1,NA,1,NA,0,NA,NA,NA,NA,0,0,NA,NA,0,"20-1991",943,2.24288092871488,0.384296993917903
"119",1992,194,20,2,2,2,1,1,1,NA,2,NA,0,NA,NA,NA,NA,0,0,NA,NA,0,"20-1992",944,2.14795199049932,0.364159854467551
"120",1993,194,20,2,2,2,2,1,1,NA,1,NA,0,NA,NA,NA,NA,0,0,NA,NA,0,"20-1993",945,2.19061488814421,0.360056908274624
"121",1994,194,20,2,2,2,1,1,1,NA,2,NA,0,NA,NA,NA,NA,0,0,NA,NA,0,"20-1994",946,2.18326684724694,0.351347686707879
"122",1995,194,20,2,2,2,2,NA,1,NA,2,1,0,NA,NA,NA,NA,0,0,NA,NA,0,"20-1995",947,2.26627307235329,0.368196048588747
"123",1996,194,20,2,2,2,2,1,1,NA,1,1,0,NA,NA,NA,NA,0,0,NA,NA,0,"20-1996",948,2.39929117084461,0.358811214547692
"124",1997,194,20,2,2,2,2,NA,1,NA,1,1,0,NA,NA,NA,NA,0,0,NA,NA,0,"20-1997",949,2.43096465089423,0.356830606969498
"125",1998,194,20,2,2,2,1,NA,1,NA,1,1,0,NA,NA,NA,NA,0,0,NA,NA,0,"20-1998",950,2.38149821706345,0.346562762544234
"126",1999,194,20,2,2,2,2,NA,1,NA,1,1,0,NA,NA,NA,NA,0,0,NA,NA,0,"20-1999",951,2.34314301637412,0.340416091792056
"127",2000,194,20,2,2,2,1,1,1,NA,NA,2,0,NA,NA,NA,NA,0,0,NA,NA,0,"20-2000",952,2.18424813950963,0.317098581803266
"128",2001,194,20,2,2,2,1,1,1,NA,NA,2,0,NA,NA,NA,NA,0,0,NA,NA,0,"20-2001",953,2.07397972485241,0.287041609993774
"129",2002,194,20,2,2,2,1,1,2,NA,NA,1,0,NA,NA,NA,NA,0,0,NA,NA,0,"20-2002",954,1.99548284223836,0.260272636975419
"130",2003,194,20,2,2,2,1,1,1,NA,NA,6,0,NA,NA,NA,NA,0,0,NA,NA,0,"20-2003",955,2.01502786016858,0.258145386912988
"131",2004,194,20,2,2,2,1,1,1,NA,NA,3,0,NA,NA,NA,NA,0,0,NA,NA,0,"20-2004",956,2.01402236399397,0.247723849012445
"132",2005,194,20,2,1,2,1,1,1,NA,NA,1,0,NA,NA,NA,NA,0,0,NA,NA,0,"20-2005",957,1.93005219025184,0.240519062599582
"133",2006,194,20,2,1,2,1,1,1,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,0,"20-2006",958,1.88185480118572,0.253159066578408
"134",2007,194,20,2,1,2,1,2,1,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,0,"20-2007",959,1.83110248387935,0.240643323071057
"135",2008,194,20,2,1,2,1,2,1,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,0,"20-2008",960,1.86378514802493,0.256833703250701
"136",2009,194,20,2,2,2,2,1,1,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,0,"20-2009",961,2.06615211536581,0.289339312463118
"137",2010,194,20,2,1,2,1,1,1,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,0,"20-2010",962,2.11520808679789,0.298471502388119
"138",2011,194,20,2,2,2,1,1,1,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,0,"20-2011",963,2.27773539898063,0.338691625298287
"139",2012,NA,20,NA,NA,NA,NA,1,1,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,0,"20-2012",964,2.43287542498842,0.387133823608563
"140",2013,NA,20,NA,NA,NA,NA,NA,1,1,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,0,"20-2013",965,2.55269534728706,0.422149154447264
"141",2014,NA,20,NA,NA,NA,NA,1,1,1,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,0,"20-2014",966,2.6659943108711,0.449451038356097
"142",2015,NA,20,NA,NA,NA,NA,1,1,1,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,0,"20-2015",967,2.73086047017338,0.473004414007597
"143",2016,NA,20,NA,NA,NA,NA,1,1,1,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,0,"20-2016",968,2.76806501701656,0.495139068713538
"144",2017,NA,20,NA,NA,NA,NA,1,1,1,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,0,"20-2017",969,2.79105633936806,0.534088591603169
"145",1973,NA,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,"31-1973",1955,1.4772270661357,0.635696815306489
"146",1974,NA,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,"31-1974",1956,1.5556293613802,0.614195493082553
"147",1975,NA,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,"31-1975",1957,1.61775059085997,0.605894271369743
"148",1976,NA,31,NA,NA,NA,NA,NA,1,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,"31-1976",1958,1.65019559981599,0.58840714343798
"149",1977,NA,31,NA,NA,NA,NA,NA,1,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,"31-1977",1959,1.67984622814058,0.569522901295652
"150",1978,NA,31,NA,NA,NA,NA,NA,1,NA,NA,NA,0,0,0,0,1,0,NA,NA,NA,NA,"31-1978",1960,1.68378408317622,0.561978253141926
"151",1979,NA,31,NA,NA,NA,NA,NA,1,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,"31-1979",1961,1.70063037479929,0.544517241392462
"152",1980,NA,31,NA,NA,NA,NA,NA,1,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,"31-1980",1962,1.69258041788651,0.529326537570202
"153",1981,NA,31,NA,NA,NA,NA,NA,1,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,"31-1981",1963,1.68102801927009,0.517113046865108
"154",1982,NA,31,NA,NA,NA,NA,NA,1,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,"31-1982",1964,1.63922851891652,0.49882767684025
"155",1983,NA,31,NA,NA,NA,NA,NA,1,NA,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,NA,"31-1983",1965,1.57976812315757,0.483164837551542
"156",1984,NA,31,NA,NA,NA,NA,NA,1,NA,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,NA,"31-1984",1966,1.51531823480113,0.453360900275163
"157",1985,NA,31,NA,NA,NA,NA,NA,1,NA,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,NA,"31-1985",1967,1.43813722687581,0.414704032003162
"158",1986,NA,31,NA,NA,NA,NA,1,2,NA,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,NA,"31-1986",1968,1.35818249402083,0.379297815676671
"159",1987,NA,31,NA,NA,NA,NA,NA,1,NA,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,NA,"31-1987",1969,1.45428103843976,0.391763363502479
"160",1988,NA,31,NA,NA,NA,NA,NA,1,NA,NA,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,"31-1988",1970,1.54220702505836,0.388002400987738
"161",1989,NA,31,NA,NA,NA,NA,1,1,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,0,"31-1989",1971,1.62205701477895,0.371508106336028
"162",1990,NA,31,NA,NA,NA,NA,1,1,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,0,"31-1990",1972,1.64779753589326,0.375270012028478
"163",1991,NA,31,NA,NA,NA,NA,1,1,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,0,"31-1991",1973,1.65200284815961,0.364621366413319
