"","YEAR","CIRI","COW","DISAP","KILL","POLPRIS","TORT","Amnesty","State","HRW","hathaway","ITT","genocide","rummel","massive_repression","executions","negative_sanctions","mass_killing","killing_low","killing_best","killing_high","killing_present","COW_YEAR","id","theta_mean","theta_sd","theta_q025","theta_q975"
"1",1946,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,"2-1946",864,-0.759035809061964,0.445757549855075,-1.54713218580621,0.228933312701602
"2",1947,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,"2-1947",865,-0.855330735769038,0.397815058966266,-1.54493280231967,-0.0172827153089248
"3",1948,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,NA,NA,NA,NA,"2-1948",866,-0.991882669561629,0.353807770186376,-1.6287934012348,-0.249381041230488
"4",1949,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,0,NA,NA,NA,NA,"2-1949",867,-1.16721711560565,0.274541163257929,-1.68107932038027,-0.59638826619994
"5",1950,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,0,NA,NA,NA,NA,"2-1950",868,-1.2479843325455,0.245558154070598,-1.73603416455757,-0.754108750203869
"6",1951,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,0,NA,NA,NA,NA,"2-1951",869,-1.29821247762289,0.230446340206764,-1.74226561387766,-0.844935284014806
"7",1952,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,0,NA,NA,NA,NA,"2-1952",870,-1.32855356020508,0.238957081741446,-1.81277948276166,-0.830402970124582
"8",1953,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,0,NA,NA,NA,NA,"2-1953",871,-1.36812424485454,0.233791437644962,-1.83243460093405,-0.919903531345848
"9",1954,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,0,NA,NA,NA,NA,"2-1954",872,-1.34898783090293,0.230050257774938,-1.80286517976005,-0.896303207170916
"10",1955,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,0,NA,NA,NA,NA,"2-1955",873,-1.33954035229698,0.227673534475584,-1.75277550848119,-0.853887046489579
"11",1956,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,0,NA,NA,NA,NA,"2-1956",874,-1.33329416255837,0.227909646088366,-1.77077703132543,-0.896964454742373
"12",1957,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,0,NA,NA,NA,NA,"2-1957",875,-1.33451653353888,0.229785871496895,-1.77491020771832,-0.873979841365086
"13",1958,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,0,NA,NA,NA,NA,"2-1958",876,-1.32393125536567,0.229730186173843,-1.7640631188561,-0.872794800269059
"14",1959,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,0,NA,NA,NA,NA,"2-1959",877,-1.32170983310203,0.236390875130308,-1.7593220337816,-0.870757062835754
"15",1960,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,0,NA,NA,NA,NA,"2-1960",878,-1.3372202437228,0.229301664094968,-1.7788613129605,-0.863456135659054
"16",1961,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,0,NA,NA,NA,NA,"2-1961",879,-1.32800638152301,0.227303485573482,-1.78409944334647,-0.894778522698682
"17",1962,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,0,NA,NA,NA,NA,"2-1962",880,-1.32589598628951,0.227719914394374,-1.78681631230454,-0.889593501714472
"18",1963,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,0,NA,NA,NA,NA,"2-1963",881,-1.32372558455365,0.227572750742833,-1.76462816848581,-0.8727997492311
"19",1964,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,0,NA,NA,NA,NA,"2-1964",882,-1.32507202323725,0.233962844246337,-1.77887931194564,-0.865731655664939
"20",1965,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,0,NA,NA,NA,NA,"2-1965",883,-1.31193655847247,0.232295538683543,-1.76349321703833,-0.857410609811132
"21",1966,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,0,NA,NA,NA,NA,"2-1966",884,-1.30543283135971,0.222796353568207,-1.72338331239754,-0.871903732747871
"22",1967,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,0,NA,NA,NA,NA,"2-1967",885,-1.2732300736679,0.240821085169221,-1.73155833437422,-0.765345022619764
"23",1968,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,0,NA,NA,NA,NA,"2-1968",886,-1.23533640315676,0.245830276238441,-1.72309197199638,-0.758547128456178
"24",1969,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,0,NA,NA,NA,NA,"2-1969",887,-1.15490106038764,0.261707609899784,-1.67028386425273,-0.630661257722172
"25",1970,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,0,NA,NA,NA,NA,"2-1970",888,-1.02634659273682,0.30063034667561,-1.60838040046901,-0.438198087640073
"26",1971,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,NA,NA,NA,NA,"2-1971",889,-0.545616161723129,0.539959494303154,-1.31105859150729,0.849215763366148
"27",1972,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,NA,NA,NA,NA,"2-1972",890,-0.163104851991806,0.651705080154604,-1.08624687931334,1.48533392234575
"28",1973,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,NA,NA,NA,NA,"2-1973",891,0.124359023476407,0.689259547940132,-0.951761847113184,1.6481638894475
"29",1974,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,NA,NA,NA,NA,"2-1974",892,0.470238729321065,0.735628675647571,-0.859601556451788,1.91067587908897
"30",1975,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,NA,NA,NA,NA,"2-1975",893,0.889455679845458,0.705100854856918,-0.563307152104751,2.14956108961579
"31",1976,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,0,0,0,0,1,0,NA,NA,NA,NA,"2-1976",894,1.40214332640474,0.532702597233165,0.351920234275261,2.49318889517334
"32",1977,NA,2,NA,NA,NA,NA,1,1,NA,NA,NA,0,0,0,0,1,0,NA,NA,NA,NA,"2-1977",895,1.68160926836276,0.43854272017297,0.866145703862953,2.62938594278224
"33",1978,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,0,0,0,0,1,0,NA,NA,NA,NA,"2-1978",896,1.83588358618159,0.416895084901919,1.04987295937614,2.70729171063999
"34",1979,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,0,0,0,0,1,0,NA,NA,NA,NA,"2-1979",897,1.94572394278133,0.388028051079628,1.21308729963664,2.77875333373589
"35",1980,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,0,0,0,0,1,0,NA,NA,NA,NA,"2-1980",898,2.07733280905723,0.37541600338986,1.34677998760483,2.82046346971653
"36",1981,662,2,2,2,2,2,1,NA,NA,NA,NA,0,0,0,0,1,0,NA,NA,NA,NA,"2-1981",899,2.14401521160001,0.344467245859269,1.5000345174199,2.83267391608356
"37",1982,662,2,2,2,2,2,1,NA,NA,NA,NA,0,0,0,0,1,0,NA,NA,NA,NA,"2-1982",900,2.18867629486858,0.343626742570505,1.54837481425527,2.91007814574969
"38",1983,662,2,2,2,2,2,1,NA,NA,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,NA,"2-1983",901,2.20289224061655,0.337523365410843,1.57898121354962,2.87847420192894
"39",1984,662,2,2,2,2,2,1,NA,NA,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,NA,"2-1984",902,2.16841820230219,0.344306122245949,1.52534596752212,2.85366742116253
"40",1985,662,2,2,2,2,1,1,NA,NA,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,NA,"2-1985",903,1.98681289976769,0.327183201444037,1.36489289953427,2.63436391503271
"41",1986,662,2,2,2,2,1,1,NA,NA,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,NA,"2-1986",904,1.84361070367023,0.320196673729523,1.24367975565716,2.48310742394574
"42",1987,662,2,2,2,2,2,2,NA,NA,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,NA,"2-1987",905,1.74738858957365,0.307522086983714,1.15082992114353,2.3698874064587
"43",1988,662,2,2,2,2,1,1,NA,NA,NA,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,"2-1988",906,1.72502294836507,0.31581875373729,1.14938433777733,2.37634381011729
"44",1989,662,2,2,2,2,1,1,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,0,"2-1989",907,1.68210344221016,0.312275800489711,1.0928575091372,2.35048675902677
"45",1990,662,2,2,2,2,2,1,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,0,"2-1990",908,1.631726761628,0.306173332168888,1.0853022837365,2.28718400056614
"46",1991,662,2,2,2,2,1,2,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,0,"2-1991",909,1.41919669236132,0.30262032097701,0.84998457420986,2.04413673013379
"47",1992,662,2,2,2,2,1,2,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,0,"2-1992",910,1.37791429759703,0.292309189356286,0.825939611860746,1.96438842196953
"48",1993,662,2,2,2,2,1,1,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,0,"2-1993",911,1.47964722768484,0.285103591008,0.93605836211848,2.03153130888484
"49",1994,662,2,2,2,2,1,1,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,0,"2-1994",912,1.5393990364302,0.287785200722462,0.99980514241981,2.12068102099548
"50",1995,662,2,2,2,2,1,1,NA,NA,NA,5,0,NA,NA,NA,NA,0,0,NA,NA,0,"2-1995",913,1.57225812066862,0.277736934559295,1.03512149618804,2.13736553790146
"51",1996,662,2,2,2,2,1,1,NA,NA,NA,5,0,NA,NA,NA,NA,0,0,NA,NA,0,"2-1996",914,1.5828969053041,0.286707565023424,1.02880209200789,2.17037577683497
"52",1997,662,2,2,2,2,1,1,NA,NA,NA,5,0,NA,NA,NA,NA,0,0,NA,NA,0,"2-1997",915,1.61136262448979,0.272285760985002,1.05140431365697,2.15274771414864
"53",1998,662,2,2,2,2,1,1,NA,NA,NA,6,0,NA,NA,NA,NA,0,0,NA,NA,0,"2-1998",916,1.6040672904405,0.287475389589593,1.06556827438548,2.18286350518264
"54",1999,662,2,2,2,2,1,1,NA,NA,NA,6,0,NA,NA,NA,NA,0,0,NA,NA,0,"2-1999",917,1.5445806799697,0.294339752475549,1.00776300641205,2.1465654468348
"55",2000,662,2,2,2,2,1,1,NA,NA,NA,6,0,NA,NA,NA,NA,0,0,NA,NA,0,"2-2000",918,1.4209201138807,0.320382565447751,0.788905027162803,2.12800827296847
"56",2001,662,2,2,2,0,1,2,NA,NA,NA,6,0,NA,NA,NA,NA,0,0,NA,NA,0,"2-2001",919,1.00042724833012,0.336777383661435,0.379472179053129,1.66703831723431
"57",2002,662,2,2,2,1,1,2,NA,NA,NA,6,0,NA,NA,NA,NA,0,0,NA,NA,0,"2-2002",920,0.809734140760371,0.319766612420063,0.195668653304293,1.45828888399808
"58",2003,662,2,2,2,1,1,2,NA,NA,NA,6,0,NA,NA,NA,NA,0,0,NA,NA,0,"2-2003",921,0.615187261697342,0.313229128256304,0.0241626536134847,1.23670283049025
"59",2004,662,2,1,1,1,1,3,NA,NA,NA,6,0,NA,NA,NA,NA,0,0,NA,NA,0,"2-2004",922,0.156303843997299,0.282176264454273,-0.390527073698675,0.725097941762578
"60",2005,662,2,2,1,1,0,3,NA,NA,NA,6,0,NA,NA,NA,NA,0,0,NA,NA,0,"2-2005",923,0.0566552165942867,0.263991398854622,-0.476726763789045,0.5516744925815
"61",2006,662,2,2,1,1,0,3,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,0,"2-2006",924,0.0788104730640633,0.25638555375064,-0.424356555792498,0.609631131501153
"62",2007,662,2,2,1,1,1,3,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,0,"2-2007",925,0.179783925413547,0.255236260344954,-0.336129990338763,0.687194743315041
"63",2008,662,2,2,1,2,1,3,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,0,"2-2008",926,0.258505392188603,0.251991181897148,-0.257517211088077,0.771202892399726
"64",2009,662,2,2,1,1,1,3,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,0,"2-2009",927,0.285953369537758,0.249356315971233,-0.171431533717175,0.782573634887008
"65",2010,662,2,2,1,2,1,3,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,0,"2-2010",928,0.355835651234377,0.248446831580866,-0.0824546531218871,0.848340241050859
"66",2011,662,2,2,1,2,1,3,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,0,"2-2011",929,0.399864879644472,0.254436013875521,-0.0692731262734446,0.905334473551351
"67",2012,NA,2,NA,NA,NA,NA,3,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,0,"2-2012",930,0.430968935692808,0.277031293013795,-0.0861764863377207,0.993226709356297
"68",2013,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,0,"2-2013",931,0.562425501512246,0.281266544004329,0.0371545744968103,1.13137847995738
"69",2014,NA,2,NA,NA,NA,NA,2,NA,2,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,0,"2-2014",932,0.590424578032932,0.268652128891968,0.0810200238970138,1.16276683417158
"70",2015,NA,2,NA,NA,NA,NA,2,NA,3,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,0,"2-2015",933,0.471306057939087,0.268403026368669,-0.0473991667342394,1.00917659221601
"71",2016,NA,2,NA,NA,NA,NA,2,NA,3,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,"2-2016",934,0.367583405756956,0.267731344931881,-0.173740268792173,0.886090199342152
"72",2017,NA,2,NA,NA,NA,NA,2,NA,3,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,"2-2017",935,0.220693149595247,0.284984199219286,-0.362551998724901,0.771076686421104
"73",2018,NA,2,NA,NA,NA,NA,NA,NA,3,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,"2-2018",936,0.00675488536652463,0.307070068249524,-0.61865792821695,0.60835298053803
"74",2019,NA,2,NA,NA,NA,NA,4,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,"2-2019",937,-0.142189231909243,0.300569916094009,-0.740900763152001,0.4390928212501
"75",2020,NA,2,NA,NA,NA,NA,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,"2-2020",938,-0.13926872016388,0.309006435960519,-0.748876092477608,0.450334927733841
"76",2021,NA,2,NA,NA,NA,NA,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,"2-2021",939,-0.13507394000077,0.334440315557241,-0.784595682799964,0.527433125109642
"77",1946,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,"20-1946",940,0.123702583232691,0.557592979383174,-0.926670311493743,1.25147143277701
"78",1947,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,"20-1947",941,0.128262059365593,0.547391397646399,-0.931228175114336,1.2299104100716
"79",1948,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,NA,NA,NA,NA,"20-1948",942,0.113401150462643,0.530100954055445,-0.911160842964748,1.18698638218122
"80",1949,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,NA,NA,NA,NA,"20-1949",943,0.122742164571072,0.507659505976845,-0.791976524291451,1.1129115726614
"81",1950,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,NA,NA,NA,NA,"20-1950",944,0.123203984382487,0.485476021363533,-0.800019055113694,1.10658926249817
"82",1951,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,NA,NA,NA,NA,"20-1951",945,0.134650179749988,0.472539039145782,-0.729282873878399,1.09423190592943
"83",1952,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,NA,NA,NA,NA,"20-1952",946,0.142650900318674,0.473502939569192,-0.674524696314383,1.09685692665465
"84",1953,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,NA,NA,NA,NA,"20-1953",947,0.162499974619621,0.484614074566385,-0.733024605757524,1.21199018293314
"85",1954,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,NA,NA,NA,NA,"20-1954",948,0.190852092132537,0.483373305958176,-0.684707942278038,1.16777107485564
"86",1955,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,NA,NA,NA,NA,"20-1955",949,0.219330801684311,0.475000207769661,-0.664695744445499,1.2546510724368
"87",1956,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,NA,NA,NA,NA,"20-1956",950,0.249511232004305,0.465195594968479,-0.653045580143998,1.34866214072105
"88",1957,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,"20-1957",951,0.29902019879639,0.472193783478636,-0.575576047523519,1.33832393095676
"89",1958,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,NA,NA,NA,NA,"20-1958",952,0.283146812604294,0.474032228840471,-0.619405810651776,1.32348266622753
"90",1959,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,"20-1959",953,0.294757504523427,0.469440924412376,-0.550905375036794,1.31632168848321
"91",1960,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,NA,NA,NA,NA,"20-1960",954,0.275358858255004,0.46823374396462,-0.579488768216825,1.23758242761431
"92",1961,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,NA,NA,NA,NA,"20-1961",955,0.252335994271799,0.467130360339263,-0.61355550845211,1.18616152886388
"93",1962,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,NA,NA,NA,NA,"20-1962",956,0.255934443223932,0.458179503565099,-0.561728821327036,1.21266339548232
"94",1963,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,NA,NA,NA,NA,"20-1963",957,0.260138543351705,0.465546610513409,-0.601327865091709,1.22578297048749
"95",1964,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,NA,NA,NA,NA,"20-1964",958,0.272146350999657,0.470251670311505,-0.640874846791768,1.21964568301035
"96",1965,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,NA,NA,NA,NA,"20-1965",959,0.289533363917509,0.471675143202316,-0.580632212507643,1.27121375428522
"97",1966,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,NA,NA,NA,NA,"20-1966",960,0.302262907093803,0.480131851878212,-0.595395704555438,1.29964343689776
"98",1967,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,NA,NA,NA,NA,"20-1967",961,0.341553656608908,0.484522300346214,-0.60271093011392,1.30574091276133
"99",1968,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,NA,NA,NA,NA,"20-1968",962,0.40965871949982,0.493078828915798,-0.510318588426201,1.39334806002485
"100",1969,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,NA,NA,NA,NA,"20-1969",963,0.458649106116154,0.500744639522698,-0.431032423495704,1.49896380539171
"101",1970,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,NA,NA,NA,NA,"20-1970",964,0.526539629302309,0.500216273110686,-0.394413186916615,1.61992699968339
"102",1971,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,NA,NA,NA,NA,"20-1971",965,0.603084147929859,0.513561417286247,-0.36799660359967,1.67536665494664
"103",1972,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,NA,NA,NA,NA,"20-1972",966,0.717228640977763,0.532066705645911,-0.267051579005824,1.80071988071655
"104",1973,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,NA,NA,NA,NA,"20-1973",967,0.843711201618535,0.510013564691255,-0.140369344322523,1.8555724837234
"105",1974,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,"20-1974",968,1.01945231568359,0.50823559867111,0.0422449624306365,2.02796415151565
"106",1975,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,NA,NA,NA,NA,"20-1975",969,1.1253845138432,0.48240737208584,0.276742350714818,2.11328762854199
"107",1976,NA,20,NA,NA,NA,NA,1,1,NA,NA,NA,0,0,0,0,1,0,NA,NA,NA,NA,"20-1976",970,1.27364011118205,0.447593131152342,0.495378823341444,2.20131549769012
"108",1977,NA,20,NA,NA,NA,NA,NA,1,NA,NA,NA,0,0,0,0,1,0,NA,NA,NA,NA,"20-1977",971,1.37360429782497,0.443786815739147,0.559453937792292,2.26211293886162
"109",1978,NA,20,NA,NA,NA,NA,NA,1,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,"20-1978",972,1.49730907965353,0.433240718737205,0.732784190552658,2.33368016675287
"110",1979,NA,20,NA,NA,NA,NA,NA,1,NA,NA,NA,0,0,0,0,1,0,NA,NA,NA,NA,"20-1979",973,1.5671286829857,0.422982443107816,0.794429907609166,2.4152302736733
"111",1980,NA,20,NA,NA,NA,NA,NA,1,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,"20-1980",974,1.65950793988155,0.413523071421131,0.903873657580549,2.46792754274179
"112",1981,194,20,2,2,2,2,NA,1,NA,NA,NA,0,0,0,0,1,0,NA,NA,NA,NA,"20-1981",975,1.71889020962137,0.405685609877046,0.990791971166224,2.52838411480223
"113",1982,194,20,2,2,2,1,NA,1,NA,NA,NA,0,0,0,0,1,0,NA,NA,NA,NA,"20-1982",976,1.77153039481461,0.395891647383418,1.03823430372376,2.55549336891229
"114",1983,194,20,2,2,2,1,1,1,NA,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,NA,"20-1983",977,1.96594427424332,0.38473710698928,1.20613428984438,2.79603666312944
"115",1984,194,20,2,2,2,1,1,1,NA,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,NA,"20-1984",978,2.16405851132886,0.402883802250333,1.42671797133376,3.04271500223013
"116",1985,194,20,2,2,2,2,NA,1,NA,1,NA,0,0,0,NA,NA,0,NA,NA,NA,NA,"20-1985",979,2.35696377501379,0.426585053189604,1.60909241219527,3.2781012263963
"117",1986,194,20,2,2,2,2,1,1,NA,1,NA,0,0,0,NA,NA,0,NA,NA,NA,NA,"20-1986",980,2.4934546174059,0.428041012337,1.71892834449266,3.32546088552227
"118",1987,194,20,2,2,2,2,1,1,NA,1,NA,0,0,0,NA,NA,0,NA,NA,NA,NA,"20-1987",981,2.58123991453688,0.417518227644887,1.80675885510241,3.41689860933461
"119",1988,194,20,2,2,2,2,NA,1,NA,1,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,"20-1988",982,2.62899508333715,0.407466600683831,1.9567599183251,3.46193022084715
"120",1989,194,20,2,2,2,2,NA,1,NA,1,NA,0,NA,NA,NA,NA,0,0,NA,NA,0,"20-1989",983,2.63791760945068,0.400485360625274,1.97442270224046,3.48437179936514
"121",1990,194,20,2,2,2,2,1,1,NA,1,NA,0,NA,NA,NA,NA,0,0,NA,NA,0,"20-1990",984,2.60768965661806,0.386038909982071,1.91545140767008,3.44587391947317
"122",1991,194,20,2,2,2,2,1,1,NA,1,NA,0,NA,NA,NA,NA,0,0,NA,NA,0,"20-1991",985,2.54356714434838,0.393417625848117,1.81767289356823,3.36691879583052
"123",1992,194,20,2,2,2,1,1,1,NA,2,NA,0,NA,NA,NA,NA,0,0,NA,NA,0,"20-1992",986,2.42678993528729,0.379881047975317,1.72485349537665,3.19242794673204
"124",1993,194,20,2,2,2,2,1,1,NA,1,NA,0,NA,NA,NA,NA,0,0,NA,NA,0,"20-1993",987,2.48596086672594,0.367888341576236,1.80529021366049,3.24080962500463
"125",1994,194,20,2,2,2,1,1,1,NA,2,NA,0,NA,NA,NA,NA,0,0,NA,NA,0,"20-1994",988,2.47382477201459,0.361653149343227,1.78272149530619,3.18576337816851
"126",1995,194,20,2,2,2,2,NA,1,NA,2,1,0,NA,NA,NA,NA,0,0,NA,NA,0,"20-1995",989,2.58153436451054,0.375138184292179,1.87364406292486,3.40078150992753
"127",1996,194,20,2,2,2,2,1,1,NA,1,1,0,NA,NA,NA,NA,0,0,NA,NA,0,"20-1996",990,2.71752645247857,0.373801806313733,1.99277229553614,3.44480907972683
"128",1997,194,20,2,2,2,2,NA,1,NA,1,1,0,NA,NA,NA,NA,0,0,NA,NA,0,"20-1997",991,2.76503630713729,0.363126934545692,2.06618940666866,3.46673666646363
"129",1998,194,20,2,2,2,1,NA,1,NA,1,1,0,NA,NA,NA,NA,0,0,NA,NA,0,"20-1998",992,2.71157651986161,0.352830483841935,2.05495131488986,3.47114134596168
"130",1999,194,20,2,2,2,2,NA,1,NA,1,1,0,NA,NA,NA,NA,0,0,NA,NA,0,"20-1999",993,2.67133437897082,0.34260041680839,2.04305664203049,3.42455005455572
"131",2000,194,20,2,2,2,1,1,1,NA,NA,2,0,NA,NA,NA,NA,0,0,NA,NA,0,"20-2000",994,2.50404293458587,0.311083258133619,1.93117677466412,3.1419680812027
"132",2001,194,20,2,2,2,1,1,1,NA,NA,2,0,NA,NA,NA,NA,0,0,NA,NA,0,"20-2001",995,2.37844788100459,0.293720567000182,1.79672836786999,3.02267308544121
"133",2002,194,20,2,2,2,1,1,2,NA,NA,1,0,NA,NA,NA,NA,0,0,NA,NA,0,"20-2002",996,2.29448484741288,0.267631124021292,1.77519924706574,2.84851265275999
"134",2003,194,20,2,2,2,1,1,1,NA,NA,6,0,NA,NA,NA,NA,0,0,NA,NA,0,"20-2003",997,2.32639733390752,0.267213579757988,1.83292877653705,2.83824622406548
"135",2004,194,20,2,2,2,1,1,1,NA,NA,3,0,NA,NA,NA,NA,0,0,NA,NA,0,"20-2004",998,2.32754532122273,0.266125758483818,1.82767679574026,2.87146922369233
"136",2005,194,20,2,1,2,1,1,1,NA,NA,1,0,NA,NA,NA,NA,0,0,NA,NA,0,"20-2005",999,2.24407486093555,0.262149752239325,1.74852686332184,2.76958747931137
"137",2006,194,20,2,1,2,1,1,1,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,0,"20-2006",1000,2.16597408576024,0.258109535007817,1.6522222453736,2.6767960426083
